GeneID uniprot
4807 Q02575
11240 Q9Y2J8
283777 Q8N8A8
390792 Q6A163
64965 P82933
81565 Q9GZM8
64097 Q9HCS5
259230 Q86VZ5
391004 Q5VTA0
2981 Q16661
80013 Q9H8M7
253175 Q9Y6F8
79576 Q8N5F7
3667 P35568
148789 Q8NCR0
10651 O75431
169792 Q8NEA6
57479 Q9ULL5
2300 Q12952
64129 Q9GZM7
9337 Q9UFF9
57717 Q9NRJ7
1272 Q12860
10490 Q9UEU0
57161 Q9HAT8
79006 Q9UJH8
222487 Q86Y34
154150 Q5TGJ6
84436 Q3MIS6
81542 Q9H3N1
100131390 P0CG40
3356 P28223
1145 Q04844
51350 Q01546
728113 Q5VT79
3036 Q92839
901 Q16589
219293 Q5T2N8
7447 P62760
151011 Q9P0V9
100507608 A0A140TA67
66035 Q9BYW1
8775 P54920
728734 E9PQR5
29943 Q9ULC6
2064 P04626
79633 Q6V0I7
6407 Q02383
9452 O43736
64108 Q96DX8
79861 A6NHL2
146754 Q9P225
90423 Q96A05
9520 P55786
375612 Q86UP9
220359 Q6B0B8
10071 Q9UKN1
83658 Q9NP97
407738 Q7Z5A9
92400 Q96H35
55009 Q9BVV8
79874 Q9H5N1
340348 Q86UF1
1192 O00299
10189 Q86V81
389558 Q6UWF9
9099 O75604
81328 Q8NGL6
29761 Q9UHP3
317705 Q7Z5H4
55617 Q9H6P5
93010 Q8NFL0
26575 Q9UGC6
126326 Q8TF64
116512 Q8TDS7
64147 Q9HAQ2
259217 O43301
441234 A6NP11
1415 P43320
2135 Q9UBQ6
6286 P25815
9508 O15072
645864 A8MXT2
90843 Q8IYN2
64067 Q8IXF0
3772 Q99712
23460 Q8N139
1513 P43235
7223 Q9UBN4
254050 Q8N309
23769 Q9NZU1
146395 Q6UXU4
11188 Q9Y2I1
1632 P42126
163131 Q9Y6R6
116444 O60391
401036 Q6ZVZ8
5307 P78337
81025 P57773
682 P35613
100533181 A0A087WZ82
56135 Q9H158
57575 Q9P2E7
1794 Q92608
2743 P48167
4160 P32245
8467 O60264
2208 P06734
81300 Q8NGL7
23148 O15069
23248 Q5VT52
30848 O75638
814 Q16566
3113 P20036
337966 Q3LI64
3581 Q01113
1420 P07315
84148 Q9H7Z6
9826 O15085
343637 Q2I0M5
56165 Q9BXT4
6317 P29508
3094 P49773
2998 P54840
931 P11836
10450 Q9UNP9
5704 P43686
54994 Q9NWU2
79574 Q8TE67
29855 Q9NPG3
3628 P49441
144448 P0C672
9348 O95803
152015 Q9BZX4
84861 Q53GT1
5137 Q14123
6874 O00268
3475 O00458
10715 P27544
9365 Q9UEF7
138881 Q8NGR8
148581 Q5VVX9
54866 Q9NXH3
78987 Q96HD1
1298 Q14055
1852 Q99956
535 Q93050
2100 Q92731
26165 Q8IWB4
113220 Q96FN5
7044 O00292
7690 P52739
2977 P33402
2528 P51993
860 Q13950
5863 O15211
440270 A8MQT2
6504 Q13291
27075 O95857
1832 P15924
3858 P13645
114770 Q96PD5
9938 P42331
7639 Q03923
25763 O75409
119467 Q8NCR9
7551 P17036
5311 Q13563
1854 P33316
153770 A1L4L8
29071 Q96EU7
79744 Q96HQ0
9943 O95747
80059 Q86VH4
647042 A6NI86
83482 Q9BWW7
102723680 P0DMV1
60 P60709
169522 Q8TDN2
9177 O95264
56146 Q9Y5H9
285311 Q8N813
135 P29274
260293 Q8N118
8876 O95497
6569 Q06495
135892 Q86XT4
65975 Q9BYT3
